# Training Log for model: AdamW
# Time: 2025-05-28 12:38:44.793391
# Device: cuda
# Optimizer: AdamW
# Initial LR: 0.0001
# Batch size: 32
# Extra Info:
#   epochs: 25
#   augmentation: flip+rotate
#   notes: baseline run
#   batch_size: 32
epoch,train_acc,val_acc,avg_loss,lr
1,0.8771,0.9606,0.4752,0.000100
2,0.9661,0.9611,0.1196,0.000100
3,0.9799,0.9663,0.0712,0.000100
4,0.9832,0.9624,0.0573,0.000100
5,0.9852,0.9690,0.0496,0.000100
6,0.9881,0.9448,0.0402,0.000100
7,0.9870,0.9740,0.0420,0.000100
8,0.9897,0.9713,0.0344,0.000100
9,0.9905,0.9723,0.0321,0.000100
10,0.9914,0.9757,0.0291,0.000100
11,0.9911,0.9691,0.0297,0.000100
12,0.9931,0.9758,0.0235,0.000100
13,0.9917,0.9784,0.0278,0.000100
14,0.9936,0.9780,0.0209,0.000100
15,0.9935,0.9613,0.0220,0.000100
16,0.9939,0.9723,0.0213,0.000100
17,0.9942,0.9701,0.0187,0.000100
18,0.9940,0.9751,0.0205,0.000100
19,0.9951,0.9765,0.0169,0.000100
20,0.9940,0.9719,0.0199,0.000100
21,0.9946,0.9799,0.0172,0.000100
22,0.9949,0.9752,0.0168,0.000100
23,0.9947,0.9762,0.0169,0.000100
24,0.9955,0.9757,0.0161,0.000100
25,0.9949,0.9743,0.0172,0.000100
[TEST] Final Test Accuracy: 0.9741
