# Training Log for model: NAGAdamW
# Time: 2025-05-28 14:42:43.141311
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.0001
# Batch size: 32
# Extra Info:
#   epochs: 25
#   augmentation: flip+rotate
#   notes: baseline run
#   batch_size: 32
epoch,train_acc,val_acc,avg_loss,lr
1,0.8806,0.9550,0.4619,0.000100
2,0.9684,0.9608,0.1130,0.000100
3,0.9794,0.9695,0.0715,0.000100
4,0.9834,0.9710,0.0564,0.000100
5,0.9856,0.9642,0.0468,0.000100
6,0.9882,0.9643,0.0395,0.000100
7,0.9893,0.9703,0.0365,0.000100
8,0.9885,0.9739,0.0378,0.000100
9,0.9917,0.9689,0.0280,0.000100
10,0.9905,0.9677,0.0321,0.000100
11,0.9917,0.9752,0.0276,0.000100
12,0.9921,0.9762,0.0253,0.000100
13,0.9918,0.9735,0.0258,0.000100
14,0.9937,0.9733,0.0214,0.000100
15,0.9929,0.9730,0.0229,0.000100
16,0.9934,0.9690,0.0219,0.000100
17,0.9941,0.9608,0.0197,0.000100
18,0.9945,0.9637,0.0191,0.000100
19,0.9940,0.9765,0.0188,0.000100
20,0.9952,0.9739,0.0162,0.000100
21,0.9943,0.9784,0.0188,0.000100
22,0.9952,0.9781,0.0162,0.000100
23,0.9945,0.9743,0.0175,0.000100
24,0.9957,0.9728,0.0138,0.000100
25,0.9950,0.9760,0.0165,0.000100
[TEST] Final Test Accuracy: 0.9775
