# Training Log for model: SGD
# Time: 2025-05-28 13:41:25.252497
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0001
# Batch size: 32
# Extra Info:
#   epochs: 25
#   augmentation: flip+rotate
#   notes: baseline run
#   batch_size: 32
epoch,train_acc,val_acc,avg_loss,lr
1,0.4906,0.7403,2.3008,0.000100
2,0.7760,0.8297,1.0046,0.000100
3,0.8375,0.8697,0.6878,0.000100
4,0.8697,0.8976,0.5424,0.000100
5,0.8938,0.9152,0.4462,0.000100
6,0.9091,0.9299,0.3823,0.000100
7,0.9245,0.9383,0.3283,0.000100
8,0.9360,0.9467,0.2854,0.000100
9,0.9454,0.9525,0.2531,0.000100
10,0.9534,0.9570,0.2241,0.000100
11,0.9605,0.9612,0.2017,0.000100
12,0.9652,0.9663,0.1828,0.000100
13,0.9689,0.9670,0.1674,0.000100
14,0.9732,0.9709,0.1533,0.000100
15,0.9773,0.9704,0.1387,0.000100
16,0.9792,0.9720,0.1306,0.000100
17,0.9824,0.9743,0.1198,0.000100
18,0.9849,0.9743,0.1111,0.000100
19,0.9867,0.9741,0.1060,0.000100
20,0.9878,0.9755,0.0982,0.000100
21,0.9893,0.9764,0.0927,0.000100
22,0.9906,0.9774,0.0887,0.000100
23,0.9914,0.9774,0.0842,0.000100
24,0.9925,0.9778,0.0806,0.000100
25,0.9940,0.9771,0.0764,0.000100
[TEST] Final Test Accuracy: 0.9779
