# Training Log for model: ResNet18-NAGAdamW_lr0.0005_bs32
# Time: 2025-05-29 06:15:03.023403
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.0005
# Batch size: 32
# Extra Info:
#   epochs: 25
#   batch_size: 32
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.7981,0.8699,0.6946,0.000500
2,0.9059,0.9030,0.3058,0.000500
3,0.9321,0.9096,0.2170,0.000500
4,0.9489,0.9155,0.1629,0.000500
5,0.9587,0.9125,0.1311,0.000500
6,0.9644,0.9283,0.1154,0.000500
7,0.9682,0.9363,0.1026,0.000500
8,0.9717,0.9356,0.0888,0.000500
9,0.9745,0.9301,0.0814,0.000500
10,0.9767,0.9422,0.0744,0.000500
11,0.9785,0.9387,0.0699,0.000500
12,0.9810,0.9395,0.0597,0.000500
13,0.9808,0.9499,0.0609,0.000500
14,0.9829,0.9459,0.0570,0.000500
15,0.9842,0.9020,0.0515,0.000500
16,0.9822,0.9521,0.0548,0.000500
17,0.9859,0.9452,0.0453,0.000500
18,0.9850,0.9524,0.0465,0.000500
19,0.9877,0.9422,0.0402,0.000500
20,0.9850,0.9465,0.0472,0.000500
21,0.9894,0.9473,0.0348,0.000500
22,0.9871,0.9443,0.0412,0.000500
23,0.9882,0.9473,0.0387,0.000500
24,0.9883,0.9511,0.0361,0.000500
25,0.9887,0.9427,0.0360,0.000500
[TEST] Final Test Accuracy: 0.9420
