# Training Log for model: ResNet18-SGD_lr0.005_bs32
# Time: 2025-05-29 06:24:30.178316
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.005
# Batch size: 32
# Extra Info:
#   epochs: 25
#   batch_size: 32
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.7844,0.7357,0.7654,0.005000
2,0.7597,0.5067,0.8911,0.005000
3,0.7319,0.3582,1.0156,0.005000
4,0.7292,0.4469,1.0224,0.005000
5,0.7365,0.4495,0.9907,0.005000
6,0.7482,0.5968,0.9494,0.005000
7,0.7510,0.5752,0.9353,0.005000
8,0.7555,0.4773,0.9193,0.005000
9,0.7608,0.5195,0.9068,0.005000
10,0.7587,0.5053,0.9108,0.005000
11,0.7639,0.5676,0.8951,0.005000
12,0.7643,0.5181,0.8922,0.005000
13,0.7655,0.6450,0.8926,0.005000
14,0.7663,0.6595,0.8900,0.005000
15,0.7652,0.6056,0.8845,0.005000
16,0.7694,0.7268,0.8780,0.005000
17,0.7676,0.5638,0.8806,0.005000
18,0.7686,0.5515,0.8770,0.005000
19,0.7691,0.5654,0.8733,0.005000
20,0.7694,0.5822,0.8752,0.005000
21,0.7707,0.5797,0.8732,0.005000
22,0.7705,0.6340,0.8748,0.005000
23,0.7685,0.5310,0.8785,0.005000
24,0.7711,0.6064,0.8685,0.005000
25,0.7723,0.4870,0.8639,0.005000
[TEST] Final Test Accuracy: 0.4706
