# Training Log for model: ResNet18-NAGAdamW_lr0.001_bs16
# Time: 2025-05-29 09:25:21.475925
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.001
# Batch size: 16
# Extra Info:
#   epochs: 25
#   batch_size: 16
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.5938,0.7355,1.3995,0.001000
2,0.7885,0.8142,0.6918,0.001000
3,0.8573,0.8586,0.4645,0.001000
4,0.8903,0.8998,0.3486,0.001000
5,0.9111,0.8611,0.2807,0.001000
6,0.9267,0.8883,0.2358,0.001000
7,0.9359,0.9253,0.2046,0.001000
8,0.9432,0.9073,0.1804,0.001000
9,0.9501,0.9099,0.1568,0.001000
10,0.9520,0.9054,0.1519,0.001000
11,0.9568,0.9031,0.1339,0.001000
12,0.9601,0.9236,0.1241,0.001000
13,0.9628,0.9168,0.1175,0.001000
14,0.9654,0.9105,0.1101,0.001000
15,0.9664,0.9178,0.1047,0.001000
16,0.9686,0.9173,0.0986,0.001000
17,0.9700,0.9092,0.0926,0.001000
18,0.9701,0.9013,0.0930,0.001000
19,0.9734,0.9264,0.0861,0.001000
20,0.9714,0.9085,0.0885,0.001000
21,0.9745,0.9272,0.0787,0.001000
22,0.9724,0.9045,0.0858,0.001000
23,0.9752,0.9116,0.0791,0.001000
24,0.9756,0.9290,0.0764,0.001000
25,0.9773,0.9203,0.0725,0.001000
[TEST] Final Test Accuracy: 0.9146
