# Training Log for model: ResNet18-SGD_lr0.0001_bs32
# Time: 2025-05-28 17:23:17.538257
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0001
# Batch size: 32
# Extra Info:
#   epochs: 25
#   batch_size: 32
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.5064,0.7509,2.2466,0.000100
2,0.7737,0.8238,0.9893,0.000100
3,0.8339,0.8647,0.6873,0.000100
4,0.8698,0.8935,0.5415,0.000100
5,0.8912,0.9147,0.4482,0.000100
6,0.9081,0.9291,0.3831,0.000100
7,0.9246,0.9375,0.3279,0.000100
8,0.9359,0.9460,0.2863,0.000100
9,0.9453,0.9540,0.2530,0.000100
10,0.9529,0.9582,0.2238,0.000100
11,0.9592,0.9618,0.2022,0.000100
12,0.9654,0.9656,0.1816,0.000100
13,0.9702,0.9674,0.1641,0.000100
14,0.9735,0.9709,0.1509,0.000100
15,0.9765,0.9729,0.1390,0.000100
16,0.9800,0.9726,0.1266,0.000100
17,0.9819,0.9742,0.1197,0.000100
18,0.9851,0.9753,0.1100,0.000100
19,0.9873,0.9765,0.1027,0.000100
20,0.9880,0.9783,0.0969,0.000100
21,0.9902,0.9781,0.0904,0.000100
22,0.9903,0.9781,0.0870,0.000100
23,0.9919,0.9787,0.0833,0.000100
24,0.9926,0.9786,0.0797,0.000100
25,0.9936,0.9787,0.0765,0.000100
[TEST] Final Test Accuracy: 0.9764
